W[0][0] = -0.089391;  W[0][1] = -0.026833;  W[0][2] = -0.024713;  W[0][3] = 0.001486;  W[0][4] = 0.009498;  W[0][5] = 0.120126;  W[0][6] = 0.173340;  
W[1][0] = 0.040535;  W[1][1] = -0.013633;  W[1][2] = -0.017767;  W[1][3] = -0.021454;  W[1][4] = -0.051304;  W[1][5] = 0.063879;  W[1][6] = 0.055012;  

W[0][0] = -0.089391;  W[0][1] = -0.026833;  W[0][2] = -0.024713;  W[0][3] = 0.001486;  W[0][4] = 0.009498;  W[0][5] = 0.120126;  W[0][6] = 0.173340;  
W[1][0] = 0.040535;  W[1][1] = -0.013633;  W[1][2] = -0.017767;  W[1][3] = -0.021454;  W[1][4] = -0.051304;  W[1][5] = 0.063879;  W[1][6] = 0.055012;  

W[0][0] = -0.089391;  W[0][1] = -0.026833;  W[0][2] = -0.024713;  W[0][3] = 0.001486;  W[0][4] = 0.009498;  W[0][5] = 0.120126;  W[0][6] = 0.173340;  
W[1][0] = 0.040535;  W[1][1] = -0.013633;  W[1][2] = -0.017767;  W[1][3] = -0.021454;  W[1][4] = -0.051304;  W[1][5] = 0.063879;  W[1][6] = 0.055012;  

W[0][0] = -0.089391;  W[0][1] = -0.026833;  W[0][2] = -0.024713;  W[0][3] = 0.001486;  W[0][4] = 0.009498;  W[0][5] = 0.120126;  W[0][6] = 0.173340;  
W[1][0] = 0.040535;  W[1][1] = -0.013633;  W[1][2] = -0.017767;  W[1][3] = -0.021454;  W[1][4] = -0.051304;  W[1][5] = 0.063879;  W[1][6] = 0.055012;  

W[0][0] = -0.089391;  W[0][1] = -0.026833;  W[0][2] = -0.024713;  W[0][3] = 0.001486;  W[0][4] = 0.009498;  W[0][5] = 0.120126;  W[0][6] = 0.173340;  
W[1][0] = 0.040535;  W[1][1] = -0.013633;  W[1][2] = -0.017767;  W[1][3] = -0.021454;  W[1][4] = -0.051304;  W[1][5] = 0.063879;  W[1][6] = 0.055012;  

W[0][0] = -0.089391;  W[0][1] = -0.026833;  W[0][2] = -0.024713;  W[0][3] = 0.001486;  W[0][4] = 0.009498;  W[0][5] = 0.120126;  W[0][6] = 0.173340;  
W[1][0] = 0.040535;  W[1][1] = -0.013633;  W[1][2] = -0.017767;  W[1][3] = -0.021454;  W[1][4] = -0.051304;  W[1][5] = 0.063879;  W[1][6] = 0.055012;  

W[0][0] = -0.089391;  W[0][1] = -0.026833;  W[0][2] = -0.024713;  W[0][3] = 0.001486;  W[0][4] = 0.009498;  W[0][5] = 0.120126;  W[0][6] = 0.173340;  
W[1][0] = 0.040535;  W[1][1] = -0.013633;  W[1][2] = -0.017767;  W[1][3] = -0.021454;  W[1][4] = -0.051304;  W[1][5] = 0.063879;  W[1][6] = 0.055012;  

W[0][0] = -0.089391;  W[0][1] = -0.026833;  W[0][2] = -0.024713;  W[0][3] = 0.001486;  W[0][4] = 0.009498;  W[0][5] = 0.120126;  W[0][6] = 0.173340;  
W[1][0] = 0.040535;  W[1][1] = -0.013633;  W[1][2] = -0.017767;  W[1][3] = -0.021454;  W[1][4] = -0.051304;  W[1][5] = 0.063879;  W[1][6] = 0.055012;  

W[0][0] = -0.089391;  W[0][1] = -0.026833;  W[0][2] = -0.024713;  W[0][3] = 0.001486;  W[0][4] = 0.009498;  W[0][5] = 0.120126;  W[0][6] = 0.173340;  
W[1][0] = 0.040535;  W[1][1] = -0.013633;  W[1][2] = -0.017767;  W[1][3] = -0.021454;  W[1][4] = -0.051304;  W[1][5] = 0.063879;  W[1][6] = 0.055012;  

W[0][0] = -0.089391;  W[0][1] = -0.026833;  W[0][2] = -0.024713;  W[0][3] = 0.001486;  W[0][4] = 0.009498;  W[0][5] = 0.120126;  W[0][6] = 0.173340;  
W[1][0] = 0.040535;  W[1][1] = -0.013633;  W[1][2] = -0.017767;  W[1][3] = -0.021454;  W[1][4] = -0.051304;  W[1][5] = 0.063879;  W[1][6] = 0.055012;  

W[0][0] = -0.089391;  W[0][1] = -0.026833;  W[0][2] = -0.024713;  W[0][3] = 0.001486;  W[0][4] = 0.009498;  W[0][5] = 0.120126;  W[0][6] = 0.173340;  
W[1][0] = 0.040535;  W[1][1] = -0.013633;  W[1][2] = -0.017767;  W[1][3] = -0.021454;  W[1][4] = -0.051304;  W[1][5] = 0.063879;  W[1][6] = 0.055012;  

W[0][0] = -0.089391;  W[0][1] = -0.026833;  W[0][2] = -0.024713;  W[0][3] = 0.001486;  W[0][4] = 0.009498;  W[0][5] = 0.120126;  W[0][6] = 0.173340;  
W[1][0] = 0.040535;  W[1][1] = -0.013633;  W[1][2] = -0.017767;  W[1][3] = -0.021454;  W[1][4] = -0.051304;  W[1][5] = 0.063879;  W[1][6] = 0.055012;  

W[0][0] = -0.089391;  W[0][1] = -0.026833;  W[0][2] = -0.024713;  W[0][3] = 0.001486;  W[0][4] = 0.009498;  W[0][5] = 0.120126;  W[0][6] = 0.173340;  
W[1][0] = 0.040535;  W[1][1] = -0.013633;  W[1][2] = -0.017767;  W[1][3] = -0.021454;  W[1][4] = -0.051304;  W[1][5] = 0.063879;  W[1][6] = 0.055012;  

W[0][0] = -0.089391;  W[0][1] = -0.026833;  W[0][2] = -0.024713;  W[0][3] = 0.001486;  W[0][4] = 0.009498;  W[0][5] = 0.120126;  W[0][6] = 0.173340;  
W[1][0] = 0.040535;  W[1][1] = -0.013633;  W[1][2] = -0.017767;  W[1][3] = -0.021454;  W[1][4] = -0.051304;  W[1][5] = 0.063879;  W[1][6] = 0.055012;  

W[0][0] = -0.089391;  W[0][1] = -0.026833;  W[0][2] = -0.024713;  W[0][3] = 0.001486;  W[0][4] = 0.009498;  W[0][5] = 0.120126;  W[0][6] = 0.173340;  
W[1][0] = 0.040535;  W[1][1] = -0.013633;  W[1][2] = -0.017767;  W[1][3] = -0.021454;  W[1][4] = -0.051304;  W[1][5] = 0.063879;  W[1][6] = 0.055012;  

W[0][0] = -0.089391;  W[0][1] = -0.026833;  W[0][2] = -0.024713;  W[0][3] = 0.001486;  W[0][4] = 0.009498;  W[0][5] = 0.120126;  W[0][6] = 0.173340;  
W[1][0] = 0.040535;  W[1][1] = -0.013633;  W[1][2] = -0.017767;  W[1][3] = -0.021454;  W[1][4] = -0.051304;  W[1][5] = 0.063879;  W[1][6] = 0.055012;  

W[0][0] = -0.089391;  W[0][1] = -0.026833;  W[0][2] = -0.024713;  W[0][3] = 0.001486;  W[0][4] = 0.009498;  W[0][5] = 0.120126;  W[0][6] = 0.173340;  
W[1][0] = 0.040535;  W[1][1] = -0.013633;  W[1][2] = -0.017767;  W[1][3] = -0.021454;  W[1][4] = -0.051304;  W[1][5] = 0.063879;  W[1][6] = 0.055012;  

W[0][0] = -0.089391;  W[0][1] = -0.026833;  W[0][2] = -0.024713;  W[0][3] = 0.001486;  W[0][4] = 0.009498;  W[0][5] = 0.120126;  W[0][6] = 0.173340;  
W[1][0] = 0.040535;  W[1][1] = -0.013633;  W[1][2] = -0.017767;  W[1][3] = -0.021454;  W[1][4] = -0.051304;  W[1][5] = 0.063879;  W[1][6] = 0.055012;  

W[0][0] = -0.089391;  W[0][1] = -0.026833;  W[0][2] = -0.024713;  W[0][3] = 0.001486;  W[0][4] = 0.009498;  W[0][5] = 0.120126;  W[0][6] = 0.173340;  
W[1][0] = 0.040535;  W[1][1] = -0.013633;  W[1][2] = -0.017767;  W[1][3] = -0.021454;  W[1][4] = -0.051304;  W[1][5] = 0.063879;  W[1][6] = 0.055012;  

W[0][0] = -0.089391;  W[0][1] = -0.026833;  W[0][2] = -0.024713;  W[0][3] = 0.001486;  W[0][4] = 0.009498;  W[0][5] = 0.120126;  W[0][6] = 0.173340;  
W[1][0] = 0.040535;  W[1][1] = -0.013633;  W[1][2] = -0.017767;  W[1][3] = -0.021454;  W[1][4] = -0.051304;  W[1][5] = 0.063879;  W[1][6] = 0.055012;  

W[0][0] = -0.089391;  W[0][1] = -0.026833;  W[0][2] = -0.024713;  W[0][3] = 0.001486;  W[0][4] = 0.009498;  W[0][5] = 0.120126;  W[0][6] = 0.173340;  
W[1][0] = 0.040535;  W[1][1] = -0.013633;  W[1][2] = -0.017767;  W[1][3] = -0.021454;  W[1][4] = -0.051304;  W[1][5] = 0.063879;  W[1][6] = 0.055012;  

W[0][0] = -0.089391;  W[0][1] = -0.026833;  W[0][2] = -0.024713;  W[0][3] = 0.001486;  W[0][4] = 0.009498;  W[0][5] = 0.120126;  W[0][6] = 0.173340;  
W[1][0] = 0.040535;  W[1][1] = -0.013633;  W[1][2] = -0.017767;  W[1][3] = -0.021454;  W[1][4] = -0.051304;  W[1][5] = 0.063879;  W[1][6] = 0.055012;  

W[0][0] = -0.089391;  W[0][1] = -0.026833;  W[0][2] = -0.024713;  W[0][3] = 0.001486;  W[0][4] = 0.009498;  W[0][5] = 0.120126;  W[0][6] = 0.173340;  
W[1][0] = 0.040535;  W[1][1] = -0.013633;  W[1][2] = -0.017767;  W[1][3] = -0.021454;  W[1][4] = -0.051304;  W[1][5] = 0.063879;  W[1][6] = 0.055012;  

W[0][0] = -0.089391;  W[0][1] = -0.026833;  W[0][2] = -0.024713;  W[0][3] = 0.001486;  W[0][4] = 0.009498;  W[0][5] = 0.120126;  W[0][6] = 0.173340;  
W[1][0] = 0.040535;  W[1][1] = -0.013633;  W[1][2] = -0.017767;  W[1][3] = -0.021454;  W[1][4] = -0.051304;  W[1][5] = 0.063879;  W[1][6] = 0.055012;  

W[0][0] = -0.089391;  W[0][1] = -0.026833;  W[0][2] = -0.024713;  W[0][3] = 0.001486;  W[0][4] = 0.009498;  W[0][5] = 0.120126;  W[0][6] = 0.173340;  
W[1][0] = 0.040535;  W[1][1] = -0.013633;  W[1][2] = -0.017767;  W[1][3] = -0.021454;  W[1][4] = -0.051304;  W[1][5] = 0.063879;  W[1][6] = 0.055012;  

W[0][0] = -0.089391;  W[0][1] = -0.026833;  W[0][2] = -0.024713;  W[0][3] = 0.001486;  W[0][4] = 0.009498;  W[0][5] = 0.120126;  W[0][6] = 0.173340;  
W[1][0] = 0.040535;  W[1][1] = -0.013633;  W[1][2] = -0.017767;  W[1][3] = -0.021454;  W[1][4] = -0.051304;  W[1][5] = 0.063879;  W[1][6] = 0.055012;  

W[0][0] = -0.089391;  W[0][1] = -0.026833;  W[0][2] = -0.024713;  W[0][3] = 0.001486;  W[0][4] = 0.009498;  W[0][5] = 0.120126;  W[0][6] = 0.173340;  
W[1][0] = 0.040535;  W[1][1] = -0.013633;  W[1][2] = -0.017767;  W[1][3] = -0.021454;  W[1][4] = -0.051304;  W[1][5] = 0.063879;  W[1][6] = 0.055012;  

W[0][0] = -0.089391;  W[0][1] = -0.026833;  W[0][2] = -0.024713;  W[0][3] = 0.001486;  W[0][4] = 0.009498;  W[0][5] = 0.120126;  W[0][6] = 0.173340;  
W[1][0] = 0.040535;  W[1][1] = -0.013633;  W[1][2] = -0.017767;  W[1][3] = -0.021454;  W[1][4] = -0.051304;  W[1][5] = 0.063879;  W[1][6] = 0.055012;  

W[0][0] = -0.089391;  W[0][1] = -0.026833;  W[0][2] = -0.024713;  W[0][3] = 0.001486;  W[0][4] = 0.009498;  W[0][5] = 0.120126;  W[0][6] = 0.173340;  
W[1][0] = 0.040535;  W[1][1] = -0.013633;  W[1][2] = -0.017767;  W[1][3] = -0.021454;  W[1][4] = -0.051304;  W[1][5] = 0.063879;  W[1][6] = 0.055012;  

W[0][0] = -0.089391;  W[0][1] = -0.026833;  W[0][2] = -0.024713;  W[0][3] = 0.001486;  W[0][4] = 0.009498;  W[0][5] = 0.120126;  W[0][6] = 0.173340;  
W[1][0] = 0.040535;  W[1][1] = -0.013633;  W[1][2] = -0.017767;  W[1][3] = -0.021454;  W[1][4] = -0.051304;  W[1][5] = 0.063879;  W[1][6] = 0.055012;  

W[0][0] = -0.089391;  W[0][1] = -0.026833;  W[0][2] = -0.024713;  W[0][3] = 0.001486;  W[0][4] = 0.009498;  W[0][5] = 0.120126;  W[0][6] = 0.173340;  
W[1][0] = 0.040535;  W[1][1] = -0.013633;  W[1][2] = -0.017767;  W[1][3] = -0.021454;  W[1][4] = -0.051304;  W[1][5] = 0.063879;  W[1][6] = 0.055012;  

W[0][0] = -0.089391;  W[0][1] = -0.026833;  W[0][2] = -0.024713;  W[0][3] = 0.001486;  W[0][4] = 0.009498;  W[0][5] = 0.120126;  W[0][6] = 0.173340;  
W[1][0] = 0.040535;  W[1][1] = -0.013633;  W[1][2] = -0.017767;  W[1][3] = -0.021454;  W[1][4] = -0.051304;  W[1][5] = 0.063879;  W[1][6] = 0.055012;  

W[0][0] = -0.089391;  W[0][1] = -0.026833;  W[0][2] = -0.024713;  W[0][3] = 0.001486;  W[0][4] = 0.009498;  W[0][5] = 0.120126;  W[0][6] = 0.173340;  
W[1][0] = 0.040535;  W[1][1] = -0.013633;  W[1][2] = -0.017767;  W[1][3] = -0.021454;  W[1][4] = -0.051304;  W[1][5] = 0.063879;  W[1][6] = 0.055012;  

W[0][0] = -0.089391;  W[0][1] = -0.026833;  W[0][2] = -0.024713;  W[0][3] = 0.001486;  W[0][4] = 0.009498;  W[0][5] = 0.120126;  W[0][6] = 0.173340;  
W[1][0] = 0.040535;  W[1][1] = -0.013633;  W[1][2] = -0.017767;  W[1][3] = -0.021454;  W[1][4] = -0.051304;  W[1][5] = 0.063879;  W[1][6] = 0.055012;  

W[0][0] = -0.089391;  W[0][1] = -0.026833;  W[0][2] = -0.024713;  W[0][3] = 0.001486;  W[0][4] = 0.009498;  W[0][5] = 0.120126;  W[0][6] = 0.173340;  
W[1][0] = 0.040535;  W[1][1] = -0.013633;  W[1][2] = -0.017767;  W[1][3] = -0.021454;  W[1][4] = -0.051304;  W[1][5] = 0.063879;  W[1][6] = 0.055012;  

W[0][0] = -0.089391;  W[0][1] = -0.026833;  W[0][2] = -0.024713;  W[0][3] = 0.001486;  W[0][4] = 0.009498;  W[0][5] = 0.120126;  W[0][6] = 0.173340;  
W[1][0] = 0.040535;  W[1][1] = -0.013633;  W[1][2] = -0.017767;  W[1][3] = -0.021454;  W[1][4] = -0.051304;  W[1][5] = 0.063879;  W[1][6] = 0.055012;  

W[0][0] = -0.089391;  W[0][1] = -0.026833;  W[0][2] = -0.024713;  W[0][3] = 0.001486;  W[0][4] = 0.009498;  W[0][5] = 0.120126;  W[0][6] = 0.173340;  
W[1][0] = 0.040535;  W[1][1] = -0.013633;  W[1][2] = -0.017767;  W[1][3] = -0.021454;  W[1][4] = -0.051304;  W[1][5] = 0.063879;  W[1][6] = 0.055012;  

W[0][0] = -0.089391;  W[0][1] = -0.026833;  W[0][2] = -0.024713;  W[0][3] = 0.001486;  W[0][4] = 0.009498;  W[0][5] = 0.120126;  W[0][6] = 0.173340;  
W[1][0] = 0.040535;  W[1][1] = -0.013633;  W[1][2] = -0.017767;  W[1][3] = -0.021454;  W[1][4] = -0.051304;  W[1][5] = 0.063879;  W[1][6] = 0.055012;  

W[0][0] = -0.089391;  W[0][1] = -0.026833;  W[0][2] = -0.024713;  W[0][3] = 0.001486;  W[0][4] = 0.009498;  W[0][5] = 0.120126;  W[0][6] = 0.173340;  
W[1][0] = 0.040535;  W[1][1] = -0.013633;  W[1][2] = -0.017767;  W[1][3] = -0.021454;  W[1][4] = -0.051304;  W[1][5] = 0.063879;  W[1][6] = 0.055012;  

W[0][0] = -0.089391;  W[0][1] = -0.026833;  W[0][2] = -0.024713;  W[0][3] = 0.001486;  W[0][4] = 0.009498;  W[0][5] = 0.120126;  W[0][6] = 0.173340;  
W[1][0] = 0.040535;  W[1][1] = -0.013633;  W[1][2] = -0.017767;  W[1][3] = -0.021454;  W[1][4] = -0.051304;  W[1][5] = 0.063879;  W[1][6] = 0.055012;  

W[0][0] = -0.089391;  W[0][1] = -0.026833;  W[0][2] = -0.024713;  W[0][3] = 0.001486;  W[0][4] = 0.009498;  W[0][5] = 0.120126;  W[0][6] = 0.173340;  
W[1][0] = 0.040535;  W[1][1] = -0.013633;  W[1][2] = -0.017767;  W[1][3] = -0.021454;  W[1][4] = -0.051304;  W[1][5] = 0.063879;  W[1][6] = 0.055012;  

W[0][0] = -0.089391;  W[0][1] = -0.026833;  W[0][2] = -0.024713;  W[0][3] = 0.001486;  W[0][4] = 0.009498;  W[0][5] = 0.120126;  W[0][6] = 0.173340;  
W[1][0] = 0.040535;  W[1][1] = -0.013633;  W[1][2] = -0.017767;  W[1][3] = -0.021454;  W[1][4] = -0.051304;  W[1][5] = 0.063879;  W[1][6] = 0.055012;  

W[0][0] = -0.089391;  W[0][1] = -0.026833;  W[0][2] = -0.024713;  W[0][3] = 0.001486;  W[0][4] = 0.009498;  W[0][5] = 0.120126;  W[0][6] = 0.173340;  
W[1][0] = 0.040535;  W[1][1] = -0.013633;  W[1][2] = -0.017767;  W[1][3] = -0.021454;  W[1][4] = -0.051304;  W[1][5] = 0.063879;  W[1][6] = 0.055012;  

W[0][0] = -0.089391;  W[0][1] = -0.026833;  W[0][2] = -0.024713;  W[0][3] = 0.001486;  W[0][4] = 0.009498;  W[0][5] = 0.120126;  W[0][6] = 0.173340;  
W[1][0] = 0.040535;  W[1][1] = -0.013633;  W[1][2] = -0.017767;  W[1][3] = -0.021454;  W[1][4] = -0.051304;  W[1][5] = 0.063879;  W[1][6] = 0.055012;  

W[0][0] = -0.089391;  W[0][1] = -0.026833;  W[0][2] = -0.024713;  W[0][3] = 0.001486;  W[0][4] = 0.009498;  W[0][5] = 0.120126;  W[0][6] = 0.173340;  
W[1][0] = 0.040535;  W[1][1] = -0.013633;  W[1][2] = -0.017767;  W[1][3] = -0.021454;  W[1][4] = -0.051304;  W[1][5] = 0.063879;  W[1][6] = 0.055012;  

W[0][0] = -0.089391;  W[0][1] = -0.026833;  W[0][2] = -0.024713;  W[0][3] = 0.001486;  W[0][4] = 0.009498;  W[0][5] = 0.120126;  W[0][6] = 0.173340;  
W[1][0] = 0.040535;  W[1][1] = -0.013633;  W[1][2] = -0.017767;  W[1][3] = -0.021454;  W[1][4] = -0.051304;  W[1][5] = 0.063879;  W[1][6] = 0.055012;  

W[0][0] = -0.089391;  W[0][1] = -0.026833;  W[0][2] = -0.024713;  W[0][3] = 0.001486;  W[0][4] = 0.009498;  W[0][5] = 0.120126;  W[0][6] = 0.173340;  
W[1][0] = 0.040535;  W[1][1] = -0.013633;  W[1][2] = -0.017767;  W[1][3] = -0.021454;  W[1][4] = -0.051304;  W[1][5] = 0.063879;  W[1][6] = 0.055012;  

W[0][0] = -0.089391;  W[0][1] = -0.026833;  W[0][2] = -0.024713;  W[0][3] = 0.001486;  W[0][4] = 0.009498;  W[0][5] = 0.120126;  W[0][6] = 0.173340;  
W[1][0] = 0.040535;  W[1][1] = -0.013633;  W[1][2] = -0.017767;  W[1][3] = -0.021454;  W[1][4] = -0.051304;  W[1][5] = 0.063879;  W[1][6] = 0.055012;  

W[0][0] = -0.089391;  W[0][1] = -0.026833;  W[0][2] = -0.024713;  W[0][3] = 0.001486;  W[0][4] = 0.009498;  W[0][5] = 0.120126;  W[0][6] = 0.173340;  
W[1][0] = 0.040535;  W[1][1] = -0.013633;  W[1][2] = -0.017767;  W[1][3] = -0.021454;  W[1][4] = -0.051304;  W[1][5] = 0.063879;  W[1][6] = 0.055012;  

W[0][0] = -0.089391;  W[0][1] = -0.026833;  W[0][2] = -0.024713;  W[0][3] = 0.001486;  W[0][4] = 0.009498;  W[0][5] = 0.120126;  W[0][6] = 0.173340;  
W[1][0] = 0.040535;  W[1][1] = -0.013633;  W[1][2] = -0.017767;  W[1][3] = -0.021454;  W[1][4] = -0.051304;  W[1][5] = 0.063879;  W[1][6] = 0.055012;  

W[0][0] = -0.089391;  W[0][1] = -0.026833;  W[0][2] = -0.024713;  W[0][3] = 0.001486;  W[0][4] = 0.009498;  W[0][5] = 0.120126;  W[0][6] = 0.173340;  
W[1][0] = 0.040535;  W[1][1] = -0.013633;  W[1][2] = -0.017767;  W[1][3] = -0.021454;  W[1][4] = -0.051304;  W[1][5] = 0.063879;  W[1][6] = 0.055012;  

W[0][0] = -0.089391;  W[0][1] = -0.026833;  W[0][2] = -0.024713;  W[0][3] = 0.001486;  W[0][4] = 0.009498;  W[0][5] = 0.120126;  W[0][6] = 0.173340;  
W[1][0] = 0.040535;  W[1][1] = -0.013633;  W[1][2] = -0.017767;  W[1][3] = -0.021454;  W[1][4] = -0.051304;  W[1][5] = 0.063879;  W[1][6] = 0.055012;  

W[0][0] = -0.089391;  W[0][1] = -0.026833;  W[0][2] = -0.024713;  W[0][3] = 0.001486;  W[0][4] = 0.009498;  W[0][5] = 0.120126;  W[0][6] = 0.173340;  
W[1][0] = 0.040535;  W[1][1] = -0.013633;  W[1][2] = -0.017767;  W[1][3] = -0.021454;  W[1][4] = -0.051304;  W[1][5] = 0.063879;  W[1][6] = 0.055012;  

W[0][0] = -0.089391;  W[0][1] = -0.026833;  W[0][2] = -0.024713;  W[0][3] = 0.001486;  W[0][4] = 0.009498;  W[0][5] = 0.120126;  W[0][6] = 0.173340;  
W[1][0] = 0.040535;  W[1][1] = -0.013633;  W[1][2] = -0.017767;  W[1][3] = -0.021454;  W[1][4] = -0.051304;  W[1][5] = 0.063879;  W[1][6] = 0.055012;  

W[0][0] = -0.089391;  W[0][1] = -0.026833;  W[0][2] = -0.024713;  W[0][3] = 0.001486;  W[0][4] = 0.009498;  W[0][5] = 0.120126;  W[0][6] = 0.173340;  
W[1][0] = 0.040535;  W[1][1] = -0.013633;  W[1][2] = -0.017767;  W[1][3] = -0.021454;  W[1][4] = -0.051304;  W[1][5] = 0.063879;  W[1][6] = 0.055012;  

W[0][0] = -0.089391;  W[0][1] = -0.026833;  W[0][2] = -0.024713;  W[0][3] = 0.001486;  W[0][4] = 0.009498;  W[0][5] = 0.120126;  W[0][6] = 0.173340;  
W[1][0] = 0.040535;  W[1][1] = -0.013633;  W[1][2] = -0.017767;  W[1][3] = -0.021454;  W[1][4] = -0.051304;  W[1][5] = 0.063879;  W[1][6] = 0.055012;  

W[0][0] = -0.089391;  W[0][1] = -0.026833;  W[0][2] = -0.024713;  W[0][3] = 0.001486;  W[0][4] = 0.009498;  W[0][5] = 0.120126;  W[0][6] = 0.173340;  
W[1][0] = 0.040535;  W[1][1] = -0.013633;  W[1][2] = -0.017767;  W[1][3] = -0.021454;  W[1][4] = -0.051304;  W[1][5] = 0.063879;  W[1][6] = 0.055012;  

W[0][0] = -0.089391;  W[0][1] = -0.026833;  W[0][2] = -0.024713;  W[0][3] = 0.001486;  W[0][4] = 0.009498;  W[0][5] = 0.120126;  W[0][6] = 0.173340;  
W[1][0] = 0.040535;  W[1][1] = -0.013633;  W[1][2] = -0.017767;  W[1][3] = -0.021454;  W[1][4] = -0.051304;  W[1][5] = 0.063879;  W[1][6] = 0.055012;  

W[0][0] = -0.089391;  W[0][1] = -0.026833;  W[0][2] = -0.024713;  W[0][3] = 0.001486;  W[0][4] = 0.009498;  W[0][5] = 0.120126;  W[0][6] = 0.173340;  
W[1][0] = 0.040535;  W[1][1] = -0.013633;  W[1][2] = -0.017767;  W[1][3] = -0.021454;  W[1][4] = -0.051304;  W[1][5] = 0.063879;  W[1][6] = 0.055012;  

W[0][0] = -0.089391;  W[0][1] = -0.026833;  W[0][2] = -0.024713;  W[0][3] = 0.001486;  W[0][4] = 0.009498;  W[0][5] = 0.120126;  W[0][6] = 0.173340;  
W[1][0] = 0.040535;  W[1][1] = -0.013633;  W[1][2] = -0.017767;  W[1][3] = -0.021454;  W[1][4] = -0.051304;  W[1][5] = 0.063879;  W[1][6] = 0.055012;  

W[0][0] = -0.089391;  W[0][1] = -0.026833;  W[0][2] = -0.024713;  W[0][3] = 0.001486;  W[0][4] = 0.009498;  W[0][5] = 0.120126;  W[0][6] = 0.173340;  
W[1][0] = 0.040535;  W[1][1] = -0.013633;  W[1][2] = -0.017767;  W[1][3] = -0.021454;  W[1][4] = -0.051304;  W[1][5] = 0.063879;  W[1][6] = 0.055012;  

W[0][0] = -0.089391;  W[0][1] = -0.026833;  W[0][2] = -0.024713;  W[0][3] = 0.001486;  W[0][4] = 0.009498;  W[0][5] = 0.120126;  W[0][6] = 0.173340;  
W[1][0] = 0.040535;  W[1][1] = -0.013633;  W[1][2] = -0.017767;  W[1][3] = -0.021454;  W[1][4] = -0.051304;  W[1][5] = 0.063879;  W[1][6] = 0.055012;  

W[0][0] = -0.089391;  W[0][1] = -0.026833;  W[0][2] = -0.024713;  W[0][3] = 0.001486;  W[0][4] = 0.009498;  W[0][5] = 0.120126;  W[0][6] = 0.173340;  
W[1][0] = 0.040535;  W[1][1] = -0.013633;  W[1][2] = -0.017767;  W[1][3] = -0.021454;  W[1][4] = -0.051304;  W[1][5] = 0.063879;  W[1][6] = 0.055012;  

W[0][0] = -0.089391;  W[0][1] = -0.026833;  W[0][2] = -0.024713;  W[0][3] = 0.001486;  W[0][4] = 0.009498;  W[0][5] = 0.120126;  W[0][6] = 0.173340;  
W[1][0] = 0.040535;  W[1][1] = -0.013633;  W[1][2] = -0.017767;  W[1][3] = -0.021454;  W[1][4] = -0.051304;  W[1][5] = 0.063879;  W[1][6] = 0.055012;  

W[0][0] = -0.089391;  W[0][1] = -0.026833;  W[0][2] = -0.024713;  W[0][3] = 0.001486;  W[0][4] = 0.009498;  W[
